Hour,ASSAULT,CRIMINAL VIOLATIONS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,SUBSTANCE ABUSE,THEFT,WEAPONS VIOLATION,,,,,,,,,,,,,,,,,
0,836,258,24,84,720,214,150,,,,,,,,,,,,,,,,,
1,789,228,4,43,379,178,106,,,,,,,,,,,,,,,,,
2,639,199,1,74,257,143,62,,,,,,,,,,,,,,,,,
3,507,158,3,48,165,131,52,,,,,,,,,,,,,,,,,
4,323,104,2,13,83,84,24,,,,,,,,,,,,,,,,,
5,244,79,2,18,40,86,15,,,,,,,,,,,,,,,,,
6,248,93,8,32,116,120,24,,,,,,,,,,,,,,,,,
7,281,162,8,23,226,156,22,,,,,,,,,,,,,,,,,
8,433,170,15,21,290,211,29,,,,,,,,,,,,,,,,,
9,491,217,17,36,398,286,59,,,,,,,,,,,,,,,,,
10,614,256,16,66,1083,330,80,,,,,,,,,,,,,,,,,
11,663,289,12,85,1507,521,109,,,,,,,,,,,,,,,,,
12,579,278,14,111,1353,572,105,,,,,,,,,,,,,,,,,
13,594,275,13,59,1331,632,98,,,,,,,,,,,,,,,,,
14,653,309,12,55,1184,708,90,,,,,,,,,,,,,,,,,
15,801,309,20,21,1048,704,126,,,,,,,,,,,,,,,,,
16,830,337,19,31,982,782,93,,,,,,,,,,,,,,,,,
17,829,345,18,39,945,714,120,,,,,,,,,,,,,,,,,
18,778,385,24,36,1577,663,191,,,,,,,,,,,,,,,,,
19,816,407,23,72,2343,517,227,,,,,,,,,,,,,,,,,
20,784,361,13,126,1960,436,198,,,,,,,,,,,,,,,,,
21,875,324,15,187,1751,328,257,,,,,,,,,,,,,,,,,
22,988,358,17,225,1496,287,233,,,,,,,,,,,,,,,,,
23,875,311,16,125,1112,225,194,,,,,,,,,,,,,,,,,