Hour,ASSAULT,CRIMINAL VIOLATIONS,OFFENSE INVOLVING CHILDREN,SEX OFFENSE,SUBSTANCE ABUSE,THEFT,WEAPONS VIOLATION
0,2001,1457,267,197,,3426,31
1,1922,1108,25,97,1,2173,22
2,1770,930,13,92,,1919,14
3,1500,890,10,83,,1727,13
4,1106,695,12,74,,1380,9
5,854,638,11,50,,1416,6
6,743,630,29,40,,1725,9
7,1071,846,45,41,1,2339,15
8,1642,1034,103,70,,3143,19
9,1849,1082,128,67,,3701,11
10,2068,984,75,48,1,3461,15
11,2308,942,51,46,3,3372,24
12,2508,1182,117,79,,4671,41
13,2406,937,60,52,1,3909,33
14,2443,1085,91,61,3,4141,34
15,2999,1265,97,78,1,4605,34
16,2845,1294,130,77,1,4310,34
17,2731,1484,126,77,,4563,35
18,2770,1699,132,77,,4883,59
19,2647,1649,91,81,1,4372,60
20,2767,1751,74,80,,4280,49
21,2654,1820,43,74,,4161,57
22,2533,1932,55,99,,4099,53
23,2287,1496,30,109,,3211,30